bv_raw,bv_nc,crc_raw,crc_nc,n_units_used,tag,dgp,rep,N,C,T_c,het_scale,nl_scale,factor_scale,bv_true
0.36489454730025644,0.06238802445392471,0.22331017630298663,0.06182196623965777,50,p1_T15,A,40,5,50,15,0.25,0.15,1.0,0.0
0.36638959892842515,0.05827416292903835,0.23066017735708017,0.06679973789493174,50,p1_T15,A,41,5,50,15,0.25,0.15,1.0,0.0
0.3617690198076881,0.023630309435454223,0.2235606324785201,0.06328442521476894,50,p1_T15,A,42,5,50,15,0.25,0.15,1.0,0.0
0.3938040221502764,0.09532137977419632,0.2226968498763121,0.06274580378972433,50,p1_T15,A,43,5,50,15,0.25,0.15,1.0,0.0
0.33925209001225104,0.03865955249387569,0.2265939926773484,0.06461257807105411,50,p1_T15,A,44,5,50,15,0.25,0.15,1.0,0.0
0.3640186343806773,0.08477764473304854,0.22565479360481408,0.06422084541232698,50,p1_T15,A,45,5,50,15,0.25,0.15,1.0,0.0
0.35258893635632843,0.07584075051151648,0.22093314363373232,0.06099079197460679,50,p1_T15,A,46,5,50,15,0.25,0.15,1.0,0.0
0.37536058108257714,0.07876906481256465,0.22643314082994728,0.06534114352142913,50,p1_T15,A,47,5,50,15,0.25,0.15,1.0,0.0
0.37748776463841854,0.10209130769005176,0.22647665020897828,0.0643183403424562,50,p1_T15,A,48,5,50,15,0.25,0.15,1.0,0.0
0.3649798488802514,0.06006194588559685,0.2291428671565616,0.06606620607481273,50,p1_T15,A,49,5,50,15,0.25,0.15,1.0,0.0
0.38912567862550745,0.1935698599395005,0.22957600166413947,0.06637760376927508,50,p1_T15,B,0,5,50,15,0.25,0.15,1.0,0.15
0.37525850700768765,0.12463091439144819,0.23191714655754825,0.06829376676723631,50,p1_T15,B,1,5,50,15,0.25,0.15,1.0,0.12
0.40269592057259535,0.18498892622898347,0.22607892692655232,0.06486115008954993,50,p1_T15,B,2,5,50,15,0.25,0.15,1.0,0.14
0.39611602020481157,0.1834462769027891,0.2252045103366367,0.06385309500567832,50,p1_T15,B,3,5,50,15,0.25,0.15,1.0,0.13
0.38592836195375574,0.1673405309212753,0.2273725769859178,0.06549337923022175,50,p1_T15,B,4,5,50,15,0.25,0.15,1.0,0.15
0.4106056708595245,0.17682223034472982,0.22367500741428345,0.06275747639401368,50,p1_T15,B,5,5,50,15,0.25,0.15,1.0,0.15
0.37924831300141115,0.14980192111024557,0.22817187271026834,0.06629723975045379,50,p1_T15,B,6,5,50,15,0.25,0.15,1.0,0.13
0.43176947624468726,0.18145007773424218,0.2264847962412077,0.06502614630853516,50,p1_T15,B,7,5,50,15,0.25,0.15,1.0,0.14
0.39581717618383555,0.15579475824533437,0.22540054503347168,0.06470375335026618,50,p1_T15,B,8,5,50,15,0.25,0.15,1.0,0.1
0.38740959886264087,0.16992483947472098,0.22385463281367754,0.06285691960948944,50,p1_T15,B,9,5,50,15,0.25,0.15,1.0,0.14
0.3955106993332747,0.17049151202925888,0.22739259670467807,0.06621319733624782,50,p1_T15,B,10,5,50,15,0.25,0.15,1.0,0.11
0.3888200230465975,0.16780316162493544,0.22564323311242204,0.06492146905487411,50,p1_T15,B,11,5,50,15,0.25,0.15,1.0,0.14
0.3883277202364061,0.1286292846651417,0.22475264947580914,0.06288344165327488,50,p1_T15,B,12,5,50,15,0.25,0.15,1.0,0.12
0.3870846296379113,0.16344994046557662,0.22796641165996434,0.06556813307037802,50,p1_T15,B,13,5,50,15,0.25,0.15,1.0,0.11
0.39159496894276735,0.16904352065169384,0.22400361785773062,0.0622409706288047,50,p1_T15,B,14,5,50,15,0.25,0.15,1.0,0.12
0.39716495638836946,0.18379574917815142,0.22810013553921477,0.0656257212571255,50,p1_T15,B,15,5,50,15,0.25,0.15,1.0,0.13
0.3716422823810219,0.12462278821182896,0.22701510350648793,0.06368332325233002,50,p1_T15,B,16,5,50,15,0.25,0.15,1.0,0.1
0.38099725267949197,0.15399450406249993,0.22465133652560326,0.06302660532029668,50,p1_T15,B,17,5,50,15,0.25,0.15,1.0,0.11
0.4089964332152748,0.20930769691151851,0.2226882193696361,0.06287846868363522,50,p1_T15,B,18,5,50,15,0.25,0.15,1.0,0.12
0.3887585731559026,0.1881911835499977,0.2204816850811155,0.06139558346799984,50,p1_T15,B,19,5,50,15,0.25,0.15,1.0,0.12
0.4303699264593307,0.20956077860348532,0.22887708612008056,0.06575912855462276,50,p1_T15,B,20,5,50,15,0.25,0.15,1.0,0.16
0.38831518641623647,0.19234622213293265,0.22393613872388135,0.06323432198612881,50,p1_T15,B,21,5,50,15,0.25,0.15,1.0,0.14
0.38472721231373613,0.1269752245497169,0.23187718364259519,0.06838895821846878,50,p1_T15,B,22,5,50,15,0.25,0.15,1.0,0.09
0.3871444006521703,0.1422332345223581,0.224982347342422,0.06402334251018243,50,p1_T15,B,23,5,50,15,0.25,0.15,1.0,0.11
0.3897956112063403,0.17731579705454312,0.2249793558545763,0.06398363201592436,50,p1_T15,B,24,5,50,15,0.25,0.15,1.0,0.12
0.40963205190799307,0.21394769364556446,0.2217152978515065,0.062285246398286705,50,p1_T15,B,25,5,50,15,0.25,0.15,1.0,0.15
