bv_raw,bv_nc,crc_raw,crc_nc,n_units_used,tag,dgp,rep,N,C,T_c,het_scale,nl_scale,factor_scale,bv_true,pred_raw,pred_nc
0.24230871297394885,0.08792104127701456,0.3922698706806258,0.2638498289932349,25,val_C25,C,15,5,25,40,0.25,0.15,1.0,0.0,D,D
0.18807322722286204,0.02120538226551274,0.3520139116082959,0.22443626645495995,25,val_C25,C,16,5,25,40,0.25,0.15,1.0,0.0,C,C
0.2173126049258737,0.042374367027184015,0.38206964183548403,0.25341711403986333,25,val_C25,C,17,5,25,40,0.25,0.15,1.0,0.0,D,C
0.18841884520324328,0.040312612138123864,0.2806375792161735,0.16090533840479126,25,val_C25,C,18,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19801171730022127,0.03370480710213672,0.3653515167419598,0.23730852947104022,25,val_C25,C,19,5,25,40,0.25,0.15,1.0,0.0,C,C
0.2270938724615269,0.06513603890380651,0.40156682811407607,0.27223056651624883,25,val_C25,C,20,5,25,40,0.25,0.15,1.0,0.0,D,C
0.17881409581392282,0.017019487739307934,0.29541951690060897,0.17332589413277155,25,val_C25,C,21,5,25,40,0.25,0.15,1.0,0.0,C,C
0.22631264039112742,0.10233557014330735,0.28234875251140934,0.1622896389095582,25,val_C25,C,22,5,25,40,0.25,0.15,1.0,0.0,D,D
0.18040818257143837,0.018268977409360076,0.3232256743970643,0.19759919552738897,25,val_C25,C,23,5,25,40,0.25,0.15,1.0,0.0,C,C
0.2003819375252416,0.03351403435868982,0.38319137489212773,0.254198378870562,25,val_C25,C,24,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19427221143931053,0.03878585064045845,0.2985646800147912,0.17482851868845417,25,val_C25,C,25,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19386266245341355,0.034605586610095364,0.332290808016527,0.20618472356536638,25,val_C25,C,26,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19865948427748648,0.050640800253037035,0.3035411518638339,0.18097066494287714,25,val_C25,C,27,5,25,40,0.25,0.15,1.0,0.0,C,C
0.21441258501428181,0.06835458490194321,0.3235135051428921,0.197969024136213,25,val_C25,C,28,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19489217063579425,0.06242035649499429,0.24568535125201163,0.12938273442516904,25,val_C25,C,29,5,25,40,0.25,0.15,1.0,0.0,C,C
0.1912534215689205,0.02486200084835902,0.3410693126783718,0.21407051334174185,25,val_C25,C,30,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19883274272529378,0.044282425260925705,0.3620344719787815,0.23343137102086534,25,val_C25,C,31,5,25,40,0.25,0.15,1.0,0.0,C,C
0.2056698157637751,0.05194635208118652,0.3294010637615393,0.204727953405567,25,val_C25,C,32,5,25,40,0.25,0.15,1.0,0.0,C,C
0.18692071964643334,0.03553374753864078,0.2879028239522583,0.16472725141376782,25,val_C25,C,33,5,25,40,0.25,0.15,1.0,0.0,C,C
0.21146324864218527,0.03741243205022159,0.39479061614341465,0.2664986452887332,25,val_C25,C,34,5,25,40,0.25,0.15,1.0,0.0,C,C
0.20603360174685723,0.06979188825075626,0.25957339867182555,0.1415375046152029,25,val_C25,C,35,5,25,40,0.25,0.15,1.0,0.0,C,C
0.20872170142433938,0.055895361015319674,0.3222793331075918,0.19778622807415128,25,val_C25,C,36,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19901481821347825,0.024457754012924927,0.3579017656626098,0.23138290272324752,25,val_C25,C,37,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19419526590827085,0.047143652374505116,0.27798696260856487,0.15705821688584543,25,val_C25,C,38,5,25,40,0.25,0.15,1.0,0.0,C,C
0.22420313544204315,0.08960302720532734,0.33480187215578555,0.20866661375512272,25,val_C25,C,39,5,25,40,0.25,0.15,1.0,0.0,D,D
0.20938510356713716,0.05448571290358317,0.3593961486788032,0.23189464282239627,25,val_C25,C,40,5,25,40,0.25,0.15,1.0,0.0,C,C
0.18950058327016833,0.032477948725982954,0.30694773636305905,0.18250679783979099,25,val_C25,C,41,5,25,40,0.25,0.15,1.0,0.0,C,C
0.1953148574296899,0.045005777721415424,0.2736642621522766,0.15577930656448064,25,val_C25,C,42,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19273515363479013,0.03814316796659222,0.28020397514014184,0.1580928210171803,25,val_C25,C,43,5,25,40,0.25,0.15,1.0,0.0,C,C
0.19967408854163282,0.054160503710955085,0.29196490949881787,0.1697187634484022,25,val_C25,C,44,5,25,40,0.25,0.15,1.0,0.0,C,C
