T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold
25,0.05,0,20,0.20776178638055678,5.19404465951392,0.8369032144546509,0,0.04757348337203342,0.86010101010101,0.8722222222222221,0.7353535353535354,0.5186868686868686,-0.1368686868686867,0.21666666666666679,0.7758974567055702,0.8015542060136795,0.8847692400217056,1.0196651920676232,0.0832150340080261,-0.13489595204591753
25,0.05,1,20,0.21748512565089728,5.437128141272432,0.7802355289459229,0,0.05107593329716266,0.8272727272727272,0.8510101010101009,0.6762626262626263,0.547979797979798,-0.17474747474747454,0.12828282828282833,0.9324375495314599,0.9457573637366294,0.9661986082792282,1.014189912378788,0.02044124454259877,-0.04799130409955987
25,0.05,2,20,0.2301966051433411,5.754915128583527,0.841246485710144,0,0.0472886984893236,0.858080808080808,0.9499999999999998,0.7611111111111111,0.4974747474747475,-0.18888888888888877,0.26363636363636356,0.8902987383306027,0.9226300865411758,0.8957245506346225,0.9995837226510048,-0.026905535906553313,-0.10385917201638228
25,0.05,3,20,0.23047720835048596,5.761930208762149,0.8036827445030212,0,0.03948887001117155,0.981547619047619,0.9904761904761905,0.7934523809523809,0.5142857142857145,-0.1970238095238096,0.27916666666666645,0.8347275257110596,0.8602874532341958,0.8442873492836952,0.876980510354042,-0.016000103950500555,-0.03269316107034681
25,0.05,4,20,0.2234091387838594,5.585228469596485,0.8158732652664185,0,0.04468384081815613,0.8240000000000002,0.8554999999999999,0.739,0.5615,-0.11649999999999994,0.1775,0.896997706592083,0.9202849432826042,1.0093763291835784,1.1144489005208016,0.08909138590097421,-0.10507257133722314
25,0.05,5,20,0.22003320191677309,5.500830047919327,0.7778103351593018,0,0.05035462121932814,0.8752525252525253,0.865151515151515,0.7575757575757576,0.5611111111111111,-0.10757575757575744,0.19646464646464645,1.016938117146492,1.048943193256855,1.0805428564548492,1.1743247404694557,0.03159966319799423,-0.09378188401460652
25,0.05,6,20,0.22266652619717767,5.566663154929442,0.6585073471069336,0,0.04565953995996126,0.9956043956043956,0.9571428571428571,0.7802197802197803,0.5912087912087912,-0.17692307692307674,0.18901098901098912,1.121673871576786,1.1500243946909905,1.1336841434240341,1.2204606413841248,-0.016340251266956374,-0.08677649796009068
25,0.05,7,20,0.22099688010825314,5.524922002706329,0.8461474180221558,0,0.03939254606135219,0.9313333333333335,0.9273333333333333,0.7133333333333334,0.5646666666666668,-0.21399999999999997,0.1486666666666666,0.9667417615652084,0.9914517730474472,1.0608823955059052,1.1454588040709495,0.06943062245845799,-0.08457640856504423
25,0.25,0,20,0.22332563326830385,5.583140831707596,0.8695967793464661,0,0.25097963058731754,0.8945000000000001,0.9255000000000002,0.7585000000000001,0.5189999999999999,-0.16700000000000015,0.23950000000000016,1.0354110211133958,1.049684078991413,1.1305522561073302,1.2566649347543717,0.0808681771159172,-0.12611267864704145
25,0.25,1,20,0.21466382017209257,5.366595504302314,0.8614538908004761,0,0.2355082078076091,0.9259999999999999,0.89,0.7610000000000001,0.5165000000000001,-0.1289999999999999,0.24450000000000005,0.9785423159599305,0.9897812992334366,1.0546601116657257,1.1222877398133277,0.0648788124322891,-0.06762762814760204
25,0.25,2,20,0.21590788801330998,5.3976972003327495,0.7168775796890259,0,0.22587687462325784,1.0,1.0,0.923,0.5855,-0.07699999999999996,0.3375,0.8830942675471306,0.9392053008079528,0.9324103266000747,1.1438136845827103,-0.006794974207878113,-0.21140335798263554
25,0.25,3,20,0.21707843012229305,5.426960753057326,0.828161358833313,0,0.21933741771481477,0.9395604395604396,0.9010989010989011,0.726923076923077,0.5417582417582417,-0.1741758241758241,0.18516483516483528,0.9681053459644318,0.962982776761055,0.9509911477565766,0.9731460407376289,-0.011991629004478477,-0.022154892981052332
25,0.25,4,20,0.22351271034016407,5.587817758504102,0.7750037908554077,0,0.17044639385804303,0.99921875,1.0,0.92734375,0.49921875,-0.07265624999999998,0.42812500000000003,0.9074777409434318,0.9362776547670364,0.9387425139546395,1.0329905286431313,0.0024648591876030856,-0.09424801468849187
