T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold,bv_raw,bv_nc,noise_floor,crc_nc,win,tc_x_bvnc,snr,tc_x_snr
15,0.25,7,20,0.3313064509781403,4.969596764672104,0.9167003631591796,0,0.2367558507483801,0.997979797979798,0.9525252525252522,0.748989898989899,0.5525252525252526,-0.2035353535353532,0.1964646464646463,0.9202145542949438,1.000405252352357,1.1354314852505922,1.246745650097728,0.1350262328982352,-0.1113141648471356,0.3706156238181648,0.11308717285158455,0.35591853411942986,0.06132828065770719,0,1.6963075927737683,0.3177333069528706,4.765999604293059
15,1.0,0,20,0.3237288344512145,4.855932516768218,1.1251047849655151,0,0.7721116158785745,0.7833333333333334,0.8426666666666666,0.748,0.5833333333333333,-0.0946666666666665,0.1646666666666667,0.944928339123726,0.9717033118009568,1.030955960601568,1.0521637082099915,0.0592526488006114,-0.0212077476084233,0.3514534041652273,0.10104435674545197,0.3408163803519089,0.06586255009830114,0,1.5156653511817795,0.2964774071044324,4.447161106566486
15,1.0,1,20,0.3366516044545917,5.049774066818876,1.0389236211776731,0,0.8804139984462424,0.8776041666666666,0.8953125000000002,0.7916666666666666,0.5765625,-0.1036458333333335,0.2151041666666666,0.7616287240758538,0.8943306848406791,0.8172672174870967,0.9293437294662,-0.0770634673535823,-0.1120765119791031,0.3496227142134371,0.10423186792839693,0.3442631522922047,0.06280634105975925,1,1.563478018925954,0.30276800533077874,4.541520079961681
15,1.0,2,20,0.3413995768724226,5.12099365308634,1.063357949256897,0,0.9790733319234606,0.8474999999999999,0.902,0.7914999999999999,0.5720000000000001,-0.1105,0.2194999999999998,0.7399043381214142,0.7819720081984997,0.7220592282712459,0.8453209772706032,-0.0599127799272537,-0.1232617489993572,0.372315029602477,0.16428004511305452,0.3310041591051774,0.06984218841672746,1,2.464200676695818,0.4963080994425032,7.444621491637548
15,1.0,3,20,0.3750015088960941,5.625022633441412,1.0388044118881226,0,0.9185641724649878,0.8373737373737373,0.788888888888889,0.7191919191919192,0.5601010101010101,-0.0696969696969698,0.159090909090909,0.8441739762201905,0.9120244761928916,1.0183446113020185,1.1811862118542191,0.1063201351091266,-0.1628416005522011,0.4147844326109351,0.1986089816076293,0.34813163731260177,0.06176506916203182,0,2.9791347241144397,0.5704996625437121,8.557494938155681
15,1.0,4,20,0.3716117059332884,5.574175588999327,0.9301467537879944,0,0.884340291468335,0.9296875,0.8546875,0.7265625,0.5494791666666666,-0.128125,0.1770833333333333,0.8459640808403492,0.8896290004253388,0.7906246911734343,0.8063586676493287,-0.0990043092519045,-0.0157339764758944,0.4316986243244464,0.1957330811039743,0.3802079561568367,0.0595484557917489,1,2.9359962165596145,0.5148053267544825,7.7220799013172385
15,1.0,5,20,0.3562083450281197,5.343125175421796,0.7756450772285461,0,0.6912597621148394,0.9796875,0.978125,0.81484375,0.4734375,-0.16328125,0.3414062499999999,0.7766869880259037,0.8218283131718636,0.8907762579619884,0.9514145210385324,0.0689479447901249,-0.0606382630765438,0.41214965013610294,0.18241689477042025,0.3622025616412681,0.05943505150235877,0,2.7362534215563037,0.5036322602022049,7.554483903033073
15,1.0,6,20,0.3551343478935706,5.32701521840356,0.993241250514984,0,0.8465712461873791,0.8151041666666667,0.8213541666666668,0.753125,0.5807291666666666,-0.0682291666666667,0.1723958333333334,1.0881994798779488,1.1858134776353837,0.9613116651773452,1.03936905041337,-0.2245018124580384,-0.0780573852360249,0.38016733382986045,0.16299513142610933,0.340791219464893,0.05911988586182704,1,2.4449269713916397,0.478284422004894,7.174266330073411
15,1.0,7,20,0.356217629143767,5.343264437156504,1.0263829231262207,3,0.8354194773871267,0.8619791666666667,0.8052083333333334,0.7255208333333333,0.534375,-0.0796875000000001,0.1911458333333332,1.222072099149227,1.3079861246049405,1.132994793727994,1.2418268740177154,-0.1749913308769464,-0.1088320802897213,0.3924416042983572,0.17276834593678825,0.3449275823236565,0.06675944450884927,1,2.591525189051824,0.500882952801015,7.513244292015226
25,0.05,0,20,0.2077617863805567,5.19404465951392,0.8369032144546509,0,0.0475734833720334,0.86010101010101,0.8722222222222221,0.7353535353535354,0.5186868686868686,-0.1368686868686867,0.2166666666666667,0.7758974567055702,0.8015542060136795,0.8847692400217056,1.0196651920676232,0.0832150340080261,-0.1348959520459175,0.2209504414416221,0.028758708133257507,0.2317042275102503,0.047057837410570354,0,0.7189677033314377,0.12411818481812231,3.102954620453058
