country_id,country_name,regime,T_c,polyarchy_last,delta_norm,pool_score_norm,mse_pool_A,mse_pool_B,mse_hnavar,mse_cold,tau2_learned,BV,CRC,seed
19,Brazil,democracy,86,0.855,0.011685766279697418,0.012981128878891468,0.09183626621961594,0.15075615048408508,0.08893712610006332,0.12934759259223938,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
20,United States of America,democracy,92,0.827,0.007015641313046217,0.00779769429937005,0.04324034973978996,0.21760058403015137,0.07609604299068451,0.13894253969192505,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
21,Portugal,democracy,86,0.883,0.015190423466265202,0.016983648762106895,0.06205693259835243,0.1768142282962799,0.09674101322889328,0.08622319996356964,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
22,El Salvador,hybrid,70,0.547,0.010581152513623238,0.012365165166556835,0.027966151013970375,0.09151623398065567,0.05543537810444832,0.019824760034680367,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
24,Bangladesh,hybrid,24,0.503,0.006975837983191013,0.007729411590844393,0.01702612079679966,0.08738447725772858,0.08233711123466492,0.2621123790740967,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
25,Bolivia,democracy,80,0.729,0.011658442206680775,0.013105208054184914,0.3434047996997833,0.31215497851371765,0.2664352357387543,0.3031666874885559,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
26,Haiti,hybrid,54,0.41,0.007462066598236561,0.008230408653616905,0.12634140253067017,0.11495205014944077,0.20401811599731445,0.0849943608045578,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
27,Honduras,hybrid,33,0.555,0.00787859596312046,0.008852764964103699,0.1256372183561325,0.12343478947877884,0.12567348778247833,0.21065674722194672,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
28,Mali,hybrid,33,0.595,0.010676654987037182,0.012042890302836895,0.02283221110701561,0.0576203428208828,0.06485258042812347,0.034295834600925446,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
29,Pakistan,authoritarian,38,0.236,0.007046959362924099,0.008051672019064426,0.058284882456064224,0.11251180619001389,0.09311751276254654,0.15526852011680603,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
30,Peru,democracy,71,0.798,0.011215901002287865,0.013021140359342098,0.11253595352172852,0.17136593163013458,0.12996552884578705,0.44757530093193054,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
31,Senegal,hybrid,43,0.684,0.005003824830055237,0.005272286012768745,0.013926605693995953,0.04315250739455223,0.03374357149004936,0.05054410919547081,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
36,Afghanistan,authoritarian,36,0.091,0.008494671434164047,0.009893132373690605,0.8569361567497253,0.7201955914497375,0.703835129737854,0.8950533866882324,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
37,Argentina,democracy,78,0.828,0.01039088424295187,0.011751123704016209,0.19395600259304047,0.2116275429725647,0.1738576889038086,0.2986699342727661,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
38,Ethiopia,authoritarian,19,0.094,0.001314931781962514,0.0015382171841338277,0.25958386063575745,0.25003525614738464,0.2549174726009369,0.28070127964019775,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
39,India,democracy,54,0.73,0.006436488591134548,0.007223280146718025,0.11535231024026871,0.18094195425510406,0.1261111944913864,0.2139187902212143,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
40,Kenya,hybrid,40,0.419,0.006591156590729952,0.007390224374830723,0.03573474660515785,0.07303508371114731,0.03806208074092865,0.10741624236106873,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
41,North Korea,authoritarian,52,0.084,0.003230590373277664,0.003676200518384576,0.012304924428462982,0.12060428410768509,0.0517430305480957,0.30236271023750305,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
42,South Korea,democracy,55,0.84,0.012176400050520897,0.013557628728449345,0.025307580828666687,0.11482846736907959,0.07077252864837646,0.03117441199719906,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
44,Lebanon,hybrid,52,0.351,0.007045537233352661,0.008363908156752586,0.14919784665107727,0.16921748220920563,0.11750863492488861,0.3101438879966736,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
45,Nigeria,hybrid,18,0.478,0.006429029628634453,0.007306222338229418,0.19062814116477966,0.24495311081409454,0.28525614738464355,0.17147092521190643,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
46,Philippines,hybrid,52,0.535,0.010351994074881077,0.011365068145096302,0.03346046805381775,0.14002741873264313,0.02880563586950302,0.027017921209335327,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
47,Tanzania,hybrid,39,0.449,0.00621436582878232,0.00687872851267457,0.045321933925151825,0.07315483689308167,0.07851613312959671,0.08358252048492432,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
49,Thailand,hybrid,55,0.551,0.009416711516678333,0.010654009878635406,0.2247612327337265,0.21738730370998383,0.18065844476222992,0.2763785123825073,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
50,Uganda,authoritarian,33,0.27,0.008780715987086296,0.00991322472691536,0.04150109365582466,0.11420256644487381,0.07579421252012253,0.1423916220664978,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
51,Venezuela,hybrid,83,0.5,0.016933785751461983,0.018705427646636963,0.46216070652008057,0.5082997679710388,0.46588557958602905,0.5803728103637695,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
52,Benin,hybrid,28,0.615,0.009206155315041542,0.010001768358051777,0.01968376897275448,0.07308995723724365,0.047855306416749954,0.03292018920183182,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
54,Burkina Faso,hybrid,16,0.541,0.0012073090765625238,0.0013866021763533354,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
55,Cambodia,hybrid,29,0.32,0.008307092823088169,0.009499389678239822,0.09619372338056564,0.12693294882774353,0.16286689043045044,0.18324069678783417,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
56,Indonesia,hybrid,54,0.685,0.010143214836716652,0.011482421308755875,0.5010662078857422,0.411420613527298,0.4759922921657562,0.8870757222175598,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
57,Mozambique,hybrid,28,0.422,0.012090922333300114,0.013878313824534416,0.018073443323373795,0.0625692754983902,0.0698300153017044,0.024314092472195625,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
58,Nepal,hybrid,39,0.388,0.008278890512883663,0.009511783719062805,0.1016685739159584,0.18776392936706543,0.23287180066108704,0.13880950212478638,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
59,Nicaragua,hybrid,71,0.612,0.014563538134098053,0.01636682264506817,0.08987832814455032,0.12287512421607971,0.09865440428256989,0.14542479813098907,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
60,Niger,hybrid,29,0.544,0.007728180848062038,0.008468148298561573,0.06840957701206207,0.08920129388570786,0.07256657630205154,0.08296644687652588,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
61,Zambia,hybrid,39,0.491,0.006985021755099297,0.007603565696626902,0.3082871437072754,0.32389095425605774,0.42653486132621765,0.5179553627967834,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
62,Zimbabwe,authoritarian,23,0.266,0.005649638827890158,0.006248297169804573,0.21181651949882507,0.2986893355846405,0.19752570986747742,0.2404053658246994,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
63,Guinea,authoritarian,39,0.271,0.007481756620109081,0.00816324446350336,0.054804131388664246,0.09865208715200424,0.11514970660209656,0.08091400563716888,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
64,Ivory Coast,hybrid,42,0.451,0.006877644918859005,0.007568839471787214,0.4952102601528168,0.3427559733390808,0.36043781042099,0.5079896450042725,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
65,Mauritania,hybrid,29,0.312,0.0036365576088428497,0.003939392045140266,0.0854378193616867,0.10756941884756088,0.09877162426710129,0.11652791500091553,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
66,Canada,democracy,92,0.831,0.006479137577116489,0.007259924430400133,0.019967343658208847,0.1309562623500824,0.03734031319618225,0.0697576105594635,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
67,Australia,democracy,91,0.88,0.0028130135033279657,0.0032722195610404015,0.011650720611214638,0.15792535245418549,0.01445260364562273,0.01867091841995716,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
68,Botswana,democracy,37,0.707,0.0016465602675452828,0.0018988961819559336,0.04953312873840332,0.1670820415019989,0.06980647146701813,0.10525121539831161,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
69,Burundi,authoritarian,21,0.207,0.006857127416878939,0.007666048593819141,0.36151233315467834,0.32334986329078674,0.4862458407878876,1.0114580392837524,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
71,Central African Republic,hybrid,22,0.34,0.007091975770890713,0.00791090913116932,0.14252279698848724,0.13376355171203613,0.13416865468025208,0.2541666030883789,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
72,Chile,democracy,69,0.878,0.008720858953893185,0.009773606434464455,0.09421557188034058,0.17647433280944824,0.14781948924064636,0.22106151282787323,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
73,Costa Rica,democracy,76,0.899,0.00950205884873867,0.010537892580032349,0.06498125195503235,0.16682669520378113,0.07466734945774078,0.13070741295814514,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
75,Ecuador,hybrid,80,0.696,0.008291687816381454,0.009075882844626904,0.06569591164588928,0.1181090697646141,0.07886592298746109,0.09984388202428818,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
76,France,democracy,92,0.878,0.007588695269078016,0.008571813814342022,0.04897480458021164,0.28640228509902954,0.059293169528245926,0.0839572325348854,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
77,Germany,democracy,42,0.897,0.013331589289009571,0.015182255767285824,0.025044908747076988,0.22585426270961761,0.07761666923761368,0.03893072158098221,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
78,Guatemala,hybrid,71,0.549,0.013070822693407536,0.014907384291291237,0.016440751031041145,0.10900747030973434,0.05021923407912254,0.10025212168693542,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
79,Iran,authoritarian,53,0.232,0.007983307354152203,0.00937969982624054,0.12132307142019272,0.17176105082035065,0.11451449245214462,0.09599269926548004,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
80,Iraq,authoritarian,29,0.145,0.008918583393096924,0.010568972676992416,1.163689136505127,0.9270498156547546,1.0186545848846436,1.2109947204589844,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
81,Ireland,democracy,75,0.89,0.003347015706822276,0.003892220091074705,0.02697502262890339,0.09614379703998566,0.03705799579620361,0.08255830407142639,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
82,Italy,democracy,92,0.84,0.014275280758738518,0.015894081443548203,0.05185738578438759,0.08559223264455795,0.045987971127033234,0.045082882046699524,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
83,Jordan,authoritarian,40,0.223,0.005684251431375742,0.0068761566653847694,0.1688159704208374,0.21036659181118011,0.19183295965194702,0.2672376036643982,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
84,Latvia,democracy,17,0.794,0.0033887915778905153,0.004097438883036375,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
